Mawi-20181201.txt
archivo: Mawi-20181201
archivo Txt: data/Mawi-20181201.txt
En en el archivo data/Mawi-20181201.txt hay 76066888 lineas
para k: 20 topK elements:
	k	elemento	frecuenciaKLL		frecuenciaReal	ErrorRelativo
	1	859128779.000000	15406432		15284640		0.007968
	2	4230562.000000	3014656		3048128		0.010981
	3	3005432779.000000	2832732		2865631		0.011481
	4	2448630405.000000	2376080		2358614		0.007405
	5	4163388363.000000	2073976		1923101		0.078454
	6	1944624245.000000	1703936		1802686		0.054779
	7	54562210.000000	1376768		1447578		0.048916
	8	2572786380.000000	1285208		1177050		0.091889
	9	1978978408.000000	1048576		824216		0.272210
	10	1028061713.000000	1048576		1250721		0.161623
	11	4062250186.000000	825348		297029		1.778678
	12	842351563.000000	761053		698776		0.089123
	13	4131264840.000000	760832		577763		0.316858
	14	1125473123.000000	759808		688461		0.103633
	15	1520885702.000000	694400		202113		2.435702
	16	4114487624.000000	690176		348502		0.980408
	17	1717632330.000000	655360		137064		3.781416
	18	674874029.000000	624640		321730		0.941504
	19	3212494646.000000	596560		424626		0.404907
	20	506414027.000000	596511		447876		0.331866


Error Relativo Final: 0.59549
